WGU Course,WGU Course Name,External Course,Provider,Transfer Status
C255,Introduction to Geography,History 108 (SDCM-0041),Study,No
C255,Introduction to Geography,History 306 (SDCM-0065),Study,No
C255,Introduction to Geography,History 307 (SDCM-0156),Study,No
C255,Introduction to Geography,History 308 (SDCM-0066),Study,No
C255,Introduction to Geography,History 309 (SDCM-0157),Study,No
C255,Introduction to Geography,History 311 (SDCM-0158),Study,No
C255,Introduction to Geography,Political Science 101 (SDCM-0133),Study,No
C255,Introduction to Geography,Political Science 103 (SDCM-0159),Study,No
C255,Introduction to Geography,POLSC101 (SAYA-0012),Saylor,No
C255,Introduction to Geography,POLSC221 (SAYA-0029),Saylor,No
C255,Introduction to Geography,PSY1001 (SOPH-0003),Sophia,No
C255,Introduction to Geography,PSY101 (OOSL-0027),Straighterline,No
C255,Introduction to Geography,PSY120 (OOSL-0107),Straighterline,No
C255,Introduction to Geography,PSYC1010 (SOPH-0048),Sophia,No
C255,Introduction to Geography,PSYCH101 (SAYA-0007),Saylor,No
C255,Introduction to Geography,Psychology 101 (SDCM-0017),Study,No
C255,Introduction to Geography,Psychology 102 (SDCM-0018),Study,No
C255,Introduction to Geography,Psychology 103 (SDCM-0019),Study,No
C255,Introduction to Geography,Psychology 104 (SDCM-0020),Study,No
C255,Introduction to Geography,Psychology 105 (SDCM-0043),Study,No
C255,Introduction to Geography,Psychology 106 (SDCM-0021),Study,No
C255,Introduction to Geography,Psychology 107 (SDCM-0044),Study,No
C255,Introduction to Geography,Psychology 108 (SDCM-0045),Study,No
C255,Introduction to Geography,Psychology 301 (SDCM-0134),Study,No
C255,Introduction to Geography,Psychology 302 (SDCM-0179),Study,No
C255,Introduction to Geography,Psychology 306 (SDCM-0178),Study,No
C255,Introduction to Geography,Psychology 310 (SDCM-0180),Study,No
C255,Introduction to Geography,Psychology 311 (SDCM-0181),Study,No
C255,Introduction to Geography,Psychology 312 (SDCM-0135),Study,No
C255,Introduction to Geography,Psychology 315 (SDCM-0184),Study,No
C255,Introduction to Geography,Psychology 316 (SDCM-0182),Study,No
C255,Introduction to Geography,SOC1001 (SOPH-0004),Sophia,No
C255,Introduction to Geography,SOC101 (OOSL-0035),Straighterline,No
C255,Introduction to Geography,SOC101 (SAYA-0008),Saylor,No
C255,Introduction to Geography,SOCI1010 (SOPH-0051),Sophia,No
C255,Introduction to Geography,Sociology 101 (SDCM-0048),Study,No
C255,Introduction to Geography,Sociology 103 (SDCM-0103),Study,No
C255,Introduction to Geography,Sociology 305 (SDCM-0186),Study,No
C255,Introduction to Geography,USHIST 102 (OOSL-0044),Straighterline,No
C255,Introduction to Geography,USHIST101,WGU Academy,No
C255,Introduction to Geography,USHIST101 (OOSL-0039),Straighterline,No
C255,Introduction to Geography,USHIST102 (OOSL-0044),Straighterline,No
C264,Climate Change,ENV101 (OOSL-0055),Straighterline,No
C264,Climate Change,ENVS1001 (SOPH-0016),Sophia,No
C264,Climate Change,Environmental Science 101 (SDCM-0005),Study,No
C273,Introduction to Sociology,ANTH101 (OOSL-0046),Straighterline,No
C273,Introduction to Sociology,DLSI-0015 Introduction to Sociology,DLSI,No
C273,Introduction to Sociology,DLSI-0023 Introduction to Anthropology,DLSI,No
C273,Introduction to Sociology,SOC101 (OOSL-0035),Straighterline,No
C273,Introduction to Sociology,SOC101 (SAYA-0008),Saylor,No
C273,Introduction to Sociology,SOC1010 (SOPH-0051),Sophia,No
C273,Introduction to Sociology,SOC110,Argosy,No
C273,Introduction to Sociology,SOCI1010 (SOPH-0051),Sophia,No
C273,Introduction to Sociology,SOCI1310,Concorde,No
C273,Introduction to Sociology,Sociology 101 (SDCM-0048),Study,No
C273,Introduction to Sociology,SOC101,WGU Academy,No
C277,Finite Mathematics,Math 108 (SDCM-0210),Study,No
C278,College Algebra,CA1001 (SOPH-0001),Sophia,No
C278,College Algebra,MA005 (SAYA-0025),Saylor,No
C278,College Algebra,MAT101 (OOSL-0002),Straighterline,No
C278,College Algebra,MAT201 (OOSL-0003),Straighterline,No
C278,College Algebra,MAT250 (OOSL-0012),Straighterline,No
C278,College Algebra,MAT251 (OOSL-0019),Straighterline,No
C278,College Algebra,Math 101 (SDCM-0013),Study,No
C278,College Algebra,Math 103 (SDCM-0015),Study,No
C278,College Algebra,Math 104 (SDCM-0016),Study,No
C278,College Algebra,Math 105 (SDCM-0033),Study,No
C280,Probability and Statistics I,BUS204 (SAYA-0037),Saylor,No
C280,Probability and Statistics I,DLSI-0030 Statistics,DLSI,No
C280,Probability and Statistics I,MA121 (SAYA-0032),Saylor,No
C280,Probability and Statistics I,MAT150 (OOSL-0011),Straighterline,No
